기업명,도시,기업유형,우선순위,현재단계,호텔접근성,왜적합한가,공식근거URL,제안상품,제안상품설명,AGS에요청할일,담당자확인여부,연락상태,Zoom상태,현장미팅상태,샘플필요여부,견적/파일럿제안상태,다음행동,담당자,마감일,주의사항,NotionTASK생성필요여부,우선타깃여부,후보군여부,FitScore
CANS Robots,Sydney,유통사,상,3_AGS검증요청,시드니 호텔권 10분 내,학교 대상 STEM 로봇 유통 적합성이 높고 초기 리셀러 후보로 볼 수 있음,https://cans.com.au/,Distribution / Reseller,유통 또는 리셀러 제안,유통 파트너 적합성과 교육 카테고리 담당 확인,미확인,AGS검증우선,미시작,후보,검토필요,미시작,AGS에 유통 파트너 적합성 검증 요청,대표+AGS,2026-04-21,카테고리 적합성 확인 전 가격 논의는 보류,필요,Y,N,5
FIRST Australia / Macquarie University,Sydney,전략 파트너,상,3_AGS검증요청,시드니 호텔권 10분 내,기관형 파트너와 공동 파일럿 운영 가능성이 높음,https://www.firstaustralia.org/professional-development,Camp Package,캠프/기관/행사형 프로그램 제안,공동 파일럿 및 기관 파트너 가능성 검증,미확인,AGS검증우선,미시작,후보,검토필요,미시작,AGS에 공동 파일럿/기관 파트너 가능성 검증 요청,대표+AGS,2026-04-21,직접 판매보다 파트너 모델 우선 검토,필요,Y,N,5
Sydney Robotics Academy,Sydney,운영사,상,8_후속메일필요,시드니 호텔권 20분 내,직접 운영형 교육사라 Pilot Pack 반복 테스트에 적합,https://www.sydneyrobotics.com.au/,Pilot Pack,첫 파일럿/소규모 구매 제안,운영사 적합성과 실제 응답 담당 확인,부분확인,후속필요,요청전,후보,검토필요,미시작,3일 후 후속 메일 발송 및 Zoom 가능 시간 요청,대표,2026-04-24,후속 메일에는 운영형 사례 중심 문구 사용,필요,Y,N,4
Robokids Sydney Lower North Shore,Sydney,운영사,상,9_Zoom요청,시드니 호텔권 20분 내,학교/방과후/교사연수 운영 경험이 있어 Operator Pack 적합성이 높음,https://robokids.com.au/professional-development-courses-for-teachers/,Operator Pack,교육 운영사 반복 운영 제안,운영사/교사연수 수요와 담당 리드 확인,미확인,Zoom요청필요,요청필요,후보,검토필요,미시작,Zoom 요청 메일 발송 및 관심 프로그램 확인,대표,2026-04-24,운영 범위와 franchise 구조를 먼저 질문,필요,Y,N,4
Modern Teaching Aids,Sydney,유통사,중,11_Zoom완료,시드니 광역권 Zoom 우선,전국형 교육 유통사로 제안 구조만 맞으면 확장 가능성이 있음,https://www.teaching.com.au/page/tech-solutions,Distribution / Reseller,유통 또는 리셀러 제안,교육 카테고리 buyer 존재 여부와 후속 제안 조건 확인,미확인,Zoom완료후72시간내후속,완료,후보,검토필요,검토중,Zoom 완료 후 72시간 내 후속 메일 발송,대표,2026-04-22,대규모 유통사는 승인 절차가 길 수 있음,필요,N,Y,3
Sammat Education,Sydney,유통사,중,14_견적또는파일럿제안,시드니 광역권 Zoom 우선,학교 구매오더와 교육 프로그램 운영 흔적이 있어 파일럿 제안 여지가 있음,https://sammat.education/products/bee-bot-steam-program,Pilot Pack,첫 파일럿/소규모 구매 제안,리셀러 또는 운영사 중 어느 경로가 더 적합한지 확인,부분확인,제안필요,미시작,미검토,검토필요,제안필요,Pilot Pack 견적 또는 파일럿 제안 발송,대표,2026-04-25,운영사인지 유통사인지 역할을 먼저 구분,필요,N,Y,3
Rocket Academy,Melbourne,운영사,상,7_1차메일발송,멜버른 호텔권 10분 내,캠프 운영형 사업자라 Camp형 Pilot Pack 제안이 가장 빠르게 맞을 가능성이 높음,https://www.rocketacademy.com.au/programs/p/holidaycamp-docklands-w2,Pilot Pack,첫 파일럿/소규모 구매 제안,캠프형 도입 가능성과 담당자 확인,미확인,1차메일발송필요,미시작,후보,필요,미시작,캠프형 Pilot Pack 제안 메일 발송,대표,2026-04-21,메일은 짧고 캠프 운영 관점으로 작성,필요,Y,N,5
Kangan Institute Docklands,Melbourne,기관,중,0_후보등록,멜버른 호텔권 10분 내,기관형 워크숍 또는 파일럿 공간 후보로 참고 가치가 있음,https://www.kangan.edu.au/docklands-home,Camp Package,캠프/기관/행사형 프로그램 제안,프로그램 담당 부서와 파트너 가능성 확인,미확인,미연락,미시작,미검토,검토필요,미시작,기관 담당 부서 구조 파악 후 AGS 요청 여부 판단,대표,2026-04-28,기관 의사결정이 느릴 수 있으므로 후보군으로 관리,불필요,N,Y,3
Scienceworks,Melbourne,기관,상,10_Zoom예정,멜버른 호텔권 20분 내,기관형 로봇/코딩 프로그램 맥락이 있어 공동 워크숍 또는 이벤트형 제안 적합,https://museumsvictoria.com.au/scienceworks/whats-on/robots-and-coding/,Camp Package,캠프/기관/행사형 프로그램 제안,기관형 워크숍 또는 공동운영 가능성 검증,부분확인,Zoom예정,일정확정,후보,필요,미시작,Zoom 질문지 확정 및 샘플 데모 여부 정리,대표,2026-04-25,기관형 언어로 질문지를 정리해야 함,필요,Y,N,4
Robokids Melbourne West,Melbourne,운영사,상,1_기초조사중,멜버른 호텔권 20분 내,운영사 구조와 반복 운영 가능성이 있어 Operator Pack 적합성 검토 가치가 높음,https://robokids.com.au/after-school-robotics-learning-programs/,Operator Pack,교육 운영사 반복 운영 제안,지역 운영 리드와 실제 도입 가능성 확인,미확인,조사우선,미시작,후보,검토필요,미시작,지역 운영 리드 확인 후 1차 메일 준비,대표,2026-04-22,담당 리드 확인 전 메일 발송 보류,필요,Y,N,4
Pakronics,Melbourne,유통사,상,1_기초조사중,멜버른 광역권 Zoom 우선,학교 구매오더와 PD 지원 이력이 있어 유통/연수 파트너 가능성이 큼,https://www.pakronics.com.au/pages/pakronics-education-1,Distribution / Reseller,유통 또는 리셀러 제안,유통/PD 파트너 가능성과 담당자 확인,미확인,조사우선,미시작,후보,검토필요,미시작,유통/PD 파트너 가능성 조사 후 AGS 검증 요청,대표,2026-04-21,유통과 교사연수 기능을 분리해 질문,필요,Y,N,5
STEM Birds,Melbourne,운영사,중,0_후보등록,멜버른 광역권 20분 이상,운영형 프로그램 흔적은 있으나 우선순위는 낮아 후보군으로 관리,https://stembirds.com.au/locations/,Pilot Pack,첫 파일럿/소규모 구매 제안,응답성 및 실제 운영 범위 확인,미확인,미연락,미시작,미검토,검토필요,미시작,후보군 유지 후 주간 리뷰에서 재검토,대표,2026-04-29,거리와 반응 속도를 함께 보며 유지 여부 판단,불필요,N,Y,2
